From	Entry	Entry Name	Organism	Gene Names
Q7Z494	Q7Z494	NPHP3_HUMAN	Homo sapiens (Human)	NPHP3 KIAA2000
Q7Z4S6	Q7Z4S6	KI21A_HUMAN	Homo sapiens (Human)	KIF21A KIAA1708 KIF2
Q7Z4V5	Q7Z4V5	HDGR2_HUMAN	Homo sapiens (Human)	HDGFL2 HDGF2 HDGFRP2 HRP2 UNQ785/PRO1604
Q7Z589	Q7Z589	EMSY_HUMAN	Homo sapiens (Human)	EMSY C11orf30 GL002
Q7Z5Q5	Q7Z5Q5	DPOLN_HUMAN	Homo sapiens (Human)	POLN
Q7Z5R6	Q7Z5R6	AB1IP_HUMAN	Homo sapiens (Human)	APBB1IP PREL1 RARP1 RIAM
Q7Z5W3	Q7Z5W3	BN3D2_HUMAN	Homo sapiens (Human)	BCDIN3D
Q7Z624	Q7Z624	CMKMT_HUMAN	Homo sapiens (Human)	CAMKMT C2orf34 CLNMT
Q7Z6A9	Q7Z6A9	BTLA_HUMAN	Homo sapiens (Human)	BTLA
Q7Z6E9	Q7Z6E9	RBBP6_HUMAN	Homo sapiens (Human)	RBBP6 P2PR PACT RBQ1 My038
Q7Z6J2	Q7Z6J2	GRASP_HUMAN	Homo sapiens (Human)	TAMALIN GRASP
Q7Z6L1	Q7Z6L1	TCPR1_HUMAN	Homo sapiens (Human)	TECPR1 KIAA1358
Q7Z6M4	Q7Z6M4	MTEF4_HUMAN	Homo sapiens (Human)	MTERF4 MTERFD2 HSPC096
Q7Z6V5	Q7Z6V5	ADAT2_HUMAN	Homo sapiens (Human)	ADAT2 DEADC1
Q7Z6Z7	Q7Z6Z7	HUWE1_HUMAN	Homo sapiens (Human)	HUWE1 KIAA0312 KIAA1578 UREB1 HSPC272
Q7Z739	Q7Z739	YTHD3_HUMAN	Homo sapiens (Human)	YTHDF3
Q7Z7D3	Q7Z7D3	VTCN1_HUMAN	Homo sapiens (Human)	VTCN1 B7H4 UNQ659/PRO1291
